         NZ   AusB  Nin3  Nin4  NCal NEPac   IO    EI0   B+T  ZNZn  ZNZs
 200807  11.0  32.7  80.3 -20.6  29.3  45.3  38.3  71.3   5.5   6.9  26.9
 200808 -14.4  14.1  88.7 -16.8  34.0  37.2  36.1 105.2 -19.9 -17.8  -1.1
 200809  -4.9   8.9  52.0 -13.1  42.7  36.1  69.5 125.1  -9.5  -6.8   2.2
 200810  -6.1  15.8  18.2   0.8  43.6  65.4  51.7  88.4 -13.9  -3.4 -16.9
 200811  -0.7  -2.9   6.0 -16.0  83.3  96.1  36.3  65.6 -14.1   4.9 -22.4
 200812  29.0 -12.4 -26.9 -53.4 121.6 131.5   6.2  22.1   1.6  33.4  11.6
 200901  70.1  13.5 -31.8 -70.8  79.0 133.0  32.1  50.4  52.2  71.8  63.2
 200902  58.0  41.4 -36.4 -71.4  82.4 160.4  31.1  67.7  28.7  68.7  16.2
 200903  26.0  13.4 -48.7 -32.9  82.2 158.8  32.9  54.3  -1.7  39.4 -26.4
 200904  13.5  11.7  12.2   3.0  35.8 134.7  36.9  50.1   4.4  18.8  -7.3
 200905  -7.6 -16.4  68.8  44.0  17.4 104.2  55.5  67.4 -14.6  -6.2 -13.1
 200906 -27.1  32.2 100.0  67.8  -1.1  58.3  72.5  63.8 -24.7 -29.4 -18.4
 200907 -22.8  50.6 123.4  77.1  27.7  15.8  61.5  45.9 -23.9 -19.8 -34.6
 200908  -0.9  33.8 120.5  89.4  44.0   7.2  66.5  69.9  -4.4   4.1 -20.7
 200909   6.8  22.9 111.2 106.6  38.1  12.4  50.2  57.1   0.4  11.4 -10.8
 200910 -13.8  24.9 115.1 144.3  11.2  42.0  50.6  97.7 -20.7 -12.2 -20.4
 200911 -44.3  84.8 157.5 173.4 -32.0  54.6  68.9  74.2 -53.3 -32.9 -88.9
 200912  -6.4  64.5 186.9 154.7   3.9  90.0  53.2  71.3 -30.8  13.8 -85.4
 201001  13.6  79.4 131.8 150.7  18.1 109.1  50.6  93.9 -13.5  33.7 -65.3
 201002  83.2 139.0  96.0 115.8  45.5  31.1  79.4 107.2  77.6  82.7  85.3
 201003  41.4 100.9  91.3 120.6  19.2  73.8  97.3 108.2  19.2  45.8  24.0
 201004  28.6  99.6  84.6  92.8  36.0  94.8  74.8 116.2  10.7  34.9   3.7
 201005  36.1  60.8  23.1  45.6  31.0  67.8  74.8  80.0  32.8  36.9  32.8
 201006  37.1  64.5 -42.8   5.1  70.5  84.3  60.2  56.9  41.2  32.6  54.5
